adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;300000000;12.0;Adventure;299536;en;Avengers: Infinity War;79.496;2046239637;149;Released;8.3;15910
False;300000000;28.0;Action;299536;en;Avengers: Infinity War;79.496;2046239637;149;Released;8.3;15910
False;300000000;878.0;Science Fiction;299536;en;Avengers: Infinity War;79.496;2046239637;149;Released;8.3;15910
False;0;878.0;Science Fiction;540247;en;Jurassic Galaxy;79.5;0;76;Released;2.7;19
False;0;28.0;Action;540247;en;Jurassic Galaxy;79.5;0;76;Released;2.7;19
False;0;12.0;Adventure;540247;en;Jurassic Galaxy;79.5;0;76;Released;2.7;19
False;0;18.0;Drama;571346;en;American Kamasutra;57.582;0;88;Released;5.1;14
False;0;10749.0;Romance;571346;en;American Kamasutra;57.582;0;88;Released;5.1;14
False;90000000;28.0;Action;324857;en;Spider-Man: Into the Spider-Verse;45.046;375450417;117;Released;8.4;5723
False;90000000;12.0;Adventure;324857;en;Spider-Man: Into the Spider-Verse;45.046;375450417;117;Released;8.4;5723
False;90000000;16.0;Animation;324857;en;Spider-Man: Into the Spider-Verse;45.046;375450417;117;Released;8.4;5723
False;90000000;878.0;Science Fiction;324857;en;Spider-Man: Into the Spider-Verse;45.046;375450417;117;Released;8.4;5723
False;90000000;35.0;Comedy;324857;en;Spider-Man: Into the Spider-Verse;45.046;375450417;117;Released;8.4;5723
False;200000000;28.0;Action;284054;en;Black Panther;39.154;1346739107;134;Released;7.4;13698
False;200000000;12.0;Adventure;284054;en;Black Panther;39.154;1346739107;134;Released;7.4;13698
False;200000000;14.0;Fantasy;284054;en;Black Panther;39.154;1346739107;134;Released;7.4;13698
False;200000000;878.0;Science Fiction;284054;en;Black Panther;39.154;1346739107;134;Released;7.4;13698
False;160000000;28.0;Action;297802;en;Aquaman;32.421;1143689193;144;Released;6.8;7421
False;160000000;12.0;Adventure;297802;en;Aquaman;32.421;1143689193;144;Released;6.8;7421
False;160000000;14.0;Fantasy;297802;en;Aquaman;32.421;1143689193;144;Released;6.8;7421
False;110000000;28.0;Action;383498;en;Deadpool 2;34.97;741547413;121;Released;7.5;9916
False;110000000;35.0;Comedy;383498;en;Deadpool 2;34.97;741547413;121;Released;7.5;9916
False;110000000;12.0;Adventure;383498;en;Deadpool 2;34.97;741547413;121;Released;7.5;9916
False;116000000;878.0;Science Fiction;335983;en;Venom;36.3;855013954;112;Released;6.6;7488
False;116000000;28.0;Action;335983;en;Venom;36.3;855013954;112;Released;6.6;7488
False;140000000;28.0;Action;363088;en;Ant-Man and the Wasp;29.39;622674139;119;Released;7.0;7316
False;140000000;12.0;Adventure;363088;en;Ant-Man and the Wasp;29.39;622674139;119;Released;7.0;7316
False;140000000;878.0;Science Fiction;363088;en;Ant-Man and the Wasp;29.39;622674139;119;Released;7.0;7316
False;140000000;35.0;Comedy;363088;en;Ant-Man and the Wasp;29.39;622674139;119;Released;7.0;7316
False;170000000;28.0;Action;351286;en;Jurassic World: Fallen Kingdom;31.545;1303459585;129;Released;6.5;6605
False;170000000;12.0;Adventure;351286;en;Jurassic World: Fallen Kingdom;31.545;1303459585;129;Released;6.5;6605
False;170000000;878.0;Science Fiction;351286;en;Jurassic World: Fallen Kingdom;31.545;1303459585;129;Released;6.5;6605
False;52000000;18.0;Drama;424694;en;Bohemian Rhapsody;35.966;894027543;135;Released;8.0;9273
False;52000000;10402.0;Music;424694;en;Bohemian Rhapsody;35.966;894027543;135;Released;8.0;9273
False;135000000;28.0;Action;424783;en;Bumblebee;32.941;465895025;114;Released;6.5;3071
False;135000000;12.0;Adventure;424783;en;Bumblebee;32.941;465895025;114;Released;6.5;3071
False;135000000;878.0;Science Fiction;424783;en;Bumblebee;32.941;465895025;114;Released;6.5;3071
False;250000000;28.0;Action;348350;en;Solo: A Star Wars Story;30.588;392952373;135;Released;6.6;4434
False;250000000;12.0;Adventure;348350;en;Solo: A Star Wars Story;30.588;392952373;135;Released;6.6;4434
False;250000000;878.0;Science Fiction;348350;en;Solo: A Star Wars Story;30.588;392952373;135;Released;6.6;4434
False;175000000;10751.0;Family;404368;en;Ralph Breaks the Internet;32.43;529221154;112;Released;7.2;3450
False;175000000;16.0;Animation;404368;en;Ralph Breaks the Internet;32.43;529221154;112;Released;7.2;3450
False;175000000;35.0;Comedy;404368;en;Ralph Breaks the Internet;32.43;529221154;112;Released;7.2;3450
False;175000000;12.0;Adventure;404368;en;Ralph Breaks the Internet;32.43;529221154;112;Released;7.2;3450
False;178000000;28.0;Action;353081;en;Mission: Impossible - Fallout;27.743;791017452;148;Released;7.3;4345
False;178000000;12.0;Adventure;353081;en;Mission: Impossible - Fallout;27.743;791017452;148;Released;7.3;4345
False;36000000;18.0;Drama;332562;en;A Star Is Born;36.345;433888866;136;Released;7.5;6868
False;36000000;10749.0;Romance;332562;en;A Star Is Born;36.345;433888866;136;Released;7.5;6868
False;36000000;10402.0;Music;332562;en;A Star Is Born;36.345;433888866;136;Released;7.5;6868
False;100000000;12.0;Adventure;428078;en;Mortal Engines;29.626;104236467;129;Released;6.1;2306
False;100000000;14.0;Fantasy;428078;en;Mortal Engines;29.626;104236467;129;Released;6.1;2306
False;175000000;12.0;Adventure;333339;en;Ready Player One;29.289;582890172;140;Released;7.6;7988
False;175000000;878.0;Science Fiction;333339;en;Ready Player One;29.289;582890172;140;Released;7.6;7988
False;200000;12.0;Adventure;513285;en;Trouble Is My Business;9.576;0;116;Released;7.8;6
False;200000;9648.0;Mystery;513285;en;Trouble Is My Business;9.576;0;116;Released;7.8;6
False;200000;10749.0;Romance;513285;en;Trouble Is My Business;9.576;0;116;Released;7.8;6
False;200000;53.0;Thriller;513285;en;Trouble Is My Business;9.576;0;116;Released;7.8;6
False;13000000;28.0;Action;442249;en;The First Purge;22.647;137056262;97;Released;5.8;2117
False;13000000;878.0;Science Fiction;442249;en;The First Purge;22.647;137056262;97;Released;5.8;2117
False;13000000;53.0;Thriller;442249;en;The First Purge;22.647;137056262;97;Released;5.8;2117
False;13000000;27.0;Horror;442249;en;The First Purge;22.647;137056262;97;Released;5.8;2117
False;200000000;12.0;Adventure;338952;en;Fantastic Beasts: The Crimes of Grindelwald;33.738;653355901;134;Released;6.9;5750
False;200000000;14.0;Fantasy;338952;en;Fantastic Beasts: The Crimes of Grindelwald;33.738;653355901;134;Released;6.9;5750
False;200000000;10751.0;Family;338952;en;Fantastic Beasts: The Crimes of Grindelwald;33.738;653355901;134;Released;6.9;5750
False;150000000;28.0;Action;345940;en;The Meg;29.663;315960074;113;Released;5.9;3386
False;150000000;878.0;Science Fiction;345940;en;The Meg;29.663;315960074;113;Released;5.9;3386
False;150000000;27.0;Horror;345940;en;The Meg;29.663;315960074;113;Released;5.9;3386
False;2000000;18.0;Drama;453755;en;Arctic;17.114;0;98;Released;6.3;378
False;2000000;12.0;Adventure;453755;en;Arctic;17.114;0;98;Released;6.3;378
False;200000000;28.0;Action;260513;en;Incredibles 2;30.615;1241891456;118;Released;7.5;7270
False;200000000;12.0;Adventure;260513;en;Incredibles 2;30.615;1241891456;118;Released;7.5;7270
False;200000000;16.0;Animation;260513;en;Incredibles 2;30.615;1241891456;118;Released;7.5;7270
False;200000000;10751.0;Family;260513;en;Incredibles 2;30.615;1241891456;118;Released;7.5;7270
False;22000000;27.0;Horror;439079;en;The Nun;25.42;365550119;96;Released;5.6;3241
False;22000000;9648.0;Mystery;439079;en;The Nun;25.42;365550119;96;Released;5.6;3241
False;22000000;53.0;Thriller;439079;en;The Nun;25.42;365550119;96;Released;5.6;3241
False;0;35.0;Comedy;466282;en;To All the Boys I've Loved Before;33.753;0;100;Released;7.9;5121
False;0;10749.0;Romance;466282;en;To All the Boys I've Loved Before;33.753;0;100;Released;7.9;5121
False;100000000;12.0;Adventure;375588;en;Robin Hood;29.962;73260114;116;Released;5.8;1575
False;100000000;28.0;Action;375588;en;Robin Hood;29.962;73260114;116;Released;5.8;1575
False;100000000;53.0;Thriller;375588;en;Robin Hood;29.962;73260114;116;Released;5.8;1575
