adult,budget,id,original_language,original_title,popularity,production_companies_id,production_companies_logo_path,production_companies_name,production_companies_origin_country,revenue,runtime,status,vote_average,vote_count
False,0,330457,en,Frozen II,435.669,6125.0,/tVPmo07IHhBs4HuilrcV0yujsZ9.png,Walt Disney Animation Studios,US,0,104,Released,6.8,189
False,0,330457,en,Frozen II,435.669,2.0,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,0,104,Released,6.8,189
False,185000000,290859,en,Terminator: Dark Fate,180.963,574.0,/iB6GjNVHs5hOqcEYt2rcjBqIjki.png,Lightstorm Entertainment,US,233685077,128,Released,6.3,664
False,185000000,290859,en,Terminator: Dark Fate,180.963,82819.0,/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png,Skydance Media,US,233685077,128,Released,6.3,664
False,185000000,290859,en,Terminator: Dark Fate,180.963,25.0,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,233685077,128,Released,6.3,664
False,185000000,290859,en,Terminator: Dark Fate,180.963,4.0,/fycMZt242LVjagMByZOLUGbCvv3.png,Paramount,US,233685077,128,Released,6.3,664
False,185000000,290859,en,Terminator: Dark Fate,180.963,81620.0,/gNp4dfuBOXmVWdGKb63NfbFNbFi.png,Tencent Pictures,CN,233685077,128,Released,6.3,664
False,185000000,290859,en,Terminator: Dark Fate,180.963,22213.0,/qx9K6bFWJupwde0xQDwOvXkOaL8.png,TSG Entertainment,US,233685077,128,Released,6.3,664
False,0,458897,en,Charlie's Angels,111.163,34.0,/GagSvqWlyPdkFHMfQ3pNq6ix9P.png,Sony Pictures,US,0,118,Released,6.4,104
False,0,458897,en,Charlie's Angels,111.163,5.0,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,0,118,Released,6.4,104
False,0,458897,en,Charlie's Angels,111.163,12365.0,,Brownstone Productions,US,0,118,Released,6.4,104
False,0,458897,en,Charlie's Angels,111.163,84792.0,,2.0 Entertainment,US,0,118,Released,6.4,104
False,0,568012,ja,ワンピーススタンピード,151.644,5542.0,/ayE4LIqoAWotavo7xdvYngwqGML.png,Toei Animation,JP,0,101,Released,7.4,91
False,97600000,359724,en,Ford v Ferrari,98.487,25.0,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,52437000,152,Released,8.0,326
False,97600000,359724,en,Ford v Ferrari,98.487,7076.0,/8BFxn9NUWSgp0ndih569Gm62xiC.png,Chernin Entertainment,US,52437000,152,Released,8.0,326
False,0,508965,en,Klaus,83.866,29566.0,/4rFxqmQqdqrZPqsFjrjOdhCg7Yt.png,Atresmedia Cine,ES,0,97,Released,8.5,218
False,0,508965,en,Klaus,83.866,101644.0,,The SPA Studios,ES,0,97,Released,8.5,218
False,85000000,420809,en,Maleficent: Mistress of Evil,64.978,2.0,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,385990275,118,Released,7.2,932
False,0,513409,en,Earthquake Bird,58.14,1645.0,/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png,Scott Free Productions,GB,0,107,Released,5.6,79
False,0,513409,en,Earthquake Bird,58.14,122421.0,,Twenty First City,JP,0,107,Released,5.6,79
False,4000000,501907,en,A Beautiful Day in the Neighborhood,53.912,559.0,/jqWioYeGSyTLuHth0141bTGvu6H.png,TriStar Pictures,US,0,107,Released,6.8,12
False,4000000,501907,en,A Beautiful Day in the Neighborhood,53.912,81620.0,/gNp4dfuBOXmVWdGKb63NfbFNbFi.png,Tencent Pictures,CN,0,107,Released,6.8,12
False,4000000,501907,en,A Beautiful Day in the Neighborhood,53.912,188.0,/40E8iNvy6brH6t4BbmQL211jIpl.png,Big Beach,US,0,107,Released,6.8,12
False,4000000,501907,en,A Beautiful Day in the Neighborhood,53.912,34.0,/GagSvqWlyPdkFHMfQ3pNq6ix9P.png,Sony Pictures,US,0,107,Released,6.8,12
False,0,501170,en,Doctor Sleep,55.21,174.0,/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png,Warner Bros. Pictures,US,0,152,Released,7.1,486
False,0,501170,en,Doctor Sleep,55.21,829.0,/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png,Vertigo Entertainment,US,0,152,Released,7.1,486
False,0,501170,en,Doctor Sleep,55.21,1224.0,,Intrepid Pictures,US,0,152,Released,7.1,486
False,159000000,398978,en,The Irishman,49.15,11391.0,,Tribeca Productions,US,0,209,Released,8.5,187
False,159000000,398978,en,The Irishman,49.15,23243.0,,Sikelia Productions,US,0,209,Released,8.5,187
False,159000000,398978,en,The Irishman,49.15,54537.0,/bnEmKVjVTD7hSqPMgeWuxHCRLyM.png,Fábrica de Cine,MX,0,209,Released,8.5,187
False,159000000,398978,en,The Irishman,49.15,47729.0,/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png,STX Entertainment,US,0,209,Released,8.5,187
False,33000000,535292,en,21 Bridges,46.28,106544.0,,AGBO,US,0,99,Released,7.1,15
False,33000000,535292,en,21 Bridges,46.28,47729.0,/5NRpQ7xxmODXAjt2pRWUFMLVzvP.png,STX Entertainment,US,0,99,Released,7.1,15
False,33000000,535292,en,21 Bridges,46.28,36209.0,/doQEl9S1rg0l0NEtpkxf0N46OHQ.png,MWM Studios,US,0,99,Released,7.1,15
False,40000000,546554,en,Knives Out,45.728,1632.0,/cisLn1YAUuptXVBa0xjq7ST9cH0.png,Lionsgate,US,0,130,Released,8.8,6
False,40000000,546554,en,Knives Out,45.728,7493.0,/452FO4LcI6lA6bfgl6w1kQYRBlr.png,FilmNation Entertainment,US,0,130,Released,8.8,6
