adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/n1y094tVDFATSzkTnFxoGZ1qNsG.jpg;[28, 12, 35];293660;en;Deadpool;Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.;36.387;/inVq3FRqcYIRl2la8iZikYYxFNR.jpg;2016-02-12;Deadpool;False;7.6;21283
False;/m5O3SZvQ6EgD5XXXLPIP1wLppeW.jpg;[28, 12, 878];271110;en;Captain America: Civil War;Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.;34.034;/kSBXou5Ac7vEqKd97wotJumyJvU.jpg;2016-05-06;Captain America: Civil War;False;7.4;15008
False;/fp6X6yhgcxzxCpmM0EVC6V9B8XB.jpg;[35, 18, 10402, 10749];313369;en;La La Land;Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.;26.93;/ylXCdC106IKiarftHkcacasaAcb.jpg;2016-12-09;La La Land;False;7.9;10797
False;/7GrpqAs0oDcFcwFwyygnUI7BrZA.jpg;[12, 14, 10751];259316;en;Fantastic Beasts and Where to Find Them;In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.;28.779;/1M91Bt3oGspda75H9eLqYZkJzgO.jpg;2016-11-18;Fantastic Beasts and Where to Find Them;False;7.4;12938
False;/mhdeE1yShHTaDbJVdWyTlzFvNkr.jpg;[12, 16, 35, 10751];269149;en;Zootopia;Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.;33.78;/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg;2016-03-04;Zootopia;False;7.7;10675
False;/tFI8VLMgSTTU38i8TIsklfqS9Nl.jpg;[28, 12, 14, 878];284052;en;Doctor Strange;After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.;28.431;/4PiiNGXj1KENTmCBHeN6Mskj2Fq.jpg;2016-11-04;Doctor Strange;False;7.4;13668
False;/vsjBeMPZtyB7yNsYY56XYxifaQZ.jpg;[28, 12, 14];209112;en;Batman v Superman: Dawn of Justice;Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.;27.261;/cGOPbv9wA5gEejkUN892JrveARt.jpg;2016-03-25;Batman v Superman: Dawn of Justice;False;5.8;12516
False;/oQWWth5AOtbWG9o8SCAviGcADed.jpg;[28, 12, 14, 878];246655;en;X-Men: Apocalypse;After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.;20.309;/zSouWWrySXshPCT4t3UKCQGayyo.jpg;2016-05-27;X-Men: Apocalypse;False;6.5;8839
False;/f4GxmpfTxEN09R5qOCs9v5DN3KO.jpg;[28, 27, 53];316727;en;The Purge: Election Year;Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.;19.971;/sm7p6NvWOBSDywdIPhmiX3SLSH8.jpg;2016-07-01;The Purge: Election Year;False;6.3;3156
False;/64xHK6gmw3ZwIpjeSWZ7W686J5l.jpg;[18, 53];376290;en;Miss Sloane;An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.;16.118;/lPgISoC37G3E2QEVtSuJ15oYlI.jpg;2016-11-25;Miss Sloane;False;7.5;1007
False;/yIZ1xendyqKvY3FGeeUYUd5X9Mm.jpg;[18, 9648, 878];329865;en;Arrival;Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.;25.42;/xGgg2UI20qtEh7mura3RRwP8d3I.jpg;2016-11-11;Arrival;False;7.5;11109
False;/aRP8QAOhnthglsTUzeLWwoPVV1T.jpg;[18, 36];381284;en;Hidden Figures;The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.;21.111;/6cbIDZLfwUTmttXTmNi8Mp3Rnmg.jpg;2016-12-10;Hidden Figures;False;8.0;5215
False;/fgffluhvdOv79SkYaKrfRA0xkf4.jpg;[18];334543;en;Lion;"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.";20.537;/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg;2016-11-25;Lion;False;8.2;4188
False;/fxDXp8un4qNY9b1dLd7SH6CKzC.jpg;[16, 35, 18, 10751];335797;en;Sing;A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.;16.926;/eSVtBB2PVFbQiFWC7CQi3EjIZnn.jpg;2016-12-21;Sing;False;7.0;4629
False;/7OMAfDJikBxItZBIug0NJig5DHD.jpg;[16, 18, 10749];372058;ja;君の名は。;High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.;26.557;/xq1Ugd62d23K2knRUx6xxuALTZB.jpg;2017-04-07;Your Name.;False;8.5;4697
False;/zBK4QZONMQXhcgaJv1YYTdCW7q9.jpg;[18, 36, 10752];324786;en;Hacksaw Ridge;WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.;21.388;/bndiUFfJxNd2fYx8XO610L9a07m.jpg;2016-11-04;Hacksaw Ridge;False;8.1;7155
False;/iiWLJMRaEjaBf4WFmKAktn0IfbF.jpg;[12, 18, 14, 10751];283366;en;Miss Peregrine's Home for Peculiar Children;A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.;15.84;/zhd7A4Wg18F8iTCVYBnqhnm9Od0.jpg;2016-09-30;Miss Peregrine's Home for Peculiar Children;False;6.7;6625
False;/ap3norxI7zbe1KUpU5rCyfhGikb.jpg;[12, 16, 10751];313297;en;Kubo and the Two Strings;Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.;19.625;/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg;2016-08-19;Kubo and the Two Strings;False;7.7;2211
False;/eIOTsGg9FCVrBc4r2nXaV61JF4F.jpg;[12, 18, 14, 10751];278927;en;The Jungle Book;A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.;21.532;/vOipe2myi26UDwP978hsYOrnUWC.jpg;2016-04-15;The Jungle Book;False;6.8;5568
False;/tC0tVH5KQhCwMlddnyA3iWOSuBA.jpg;[28, 18, 53, 10749, 10752];369885;en;Allied;In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.;18.184;/nzXzLFTnd0Zb3ExfhOxlQgizgSu.jpg;2016-11-23;Allied;False;6.7;2981
False;/qh3huQzcRUXZZihUE0cV6kW0SuE.jpg;[28, 53];267860;en;London Has Fallen;In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.;17.542;/9j2AmDhZvdwMyYKpqe4CtBkN1Tw.jpg;2016-03-04;London Has Fallen;False;5.9;2808
False;/wf6FHPjF0HGIIkxqzvBHA2XYef9.jpg;[28, 12, 878];330459;en;Rogue One: A Star Wars Story;A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.;25.724;/qjiskwlV1qQzRCjpV0cL9pEMF9a.jpg;2016-12-16;Rogue One: A Star Wars Story;False;7.5;9900
