adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/5Sbv4UlC6M2Jsf3t1Bw88LUSwyU.jpg,"[12, 16, 14, 10751]",476631,en,Barbie: Dolphin Magic,"Barbie and her sisters take off on another exciting, global adventure to visit their friend Ken at his summer internship at a beautiful and exotic coral reef.",126.195,/3HbGrs1V1QS9kxjzPagMZaSxhKK.jpg,2017-09-18,Barbie: Dolphin Magic,False,6.6,81
False,/aJn9XeesqsrSLKcHfHP4u5985hn.jpg,"[28, 12, 35, 878]",283995,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,68.121,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,2017-05-05,Guardians of the Galaxy Vol. 2,False,7.7,13560
False,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,"[28, 12, 35, 14]",284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",42.559,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,2017-11-03,Thor: Ragnarok,False,7.5,12536
False,/nNh7vHHISVAaziJEqAq0P9iL52w.jpg,"[27, 878, 53]",395992,en,Life,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",34.248,/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg,2017-03-24,Life,False,6.4,4503
False,/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,"[28, 12, 14, 878]",181808,en,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",51.542,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,2017-12-15,Star Wars: The Last Jedi,False,7.0,9247
False,/8QXGNP0Vb4nsYKub59XpAhiUSQN.jpg,"[18, 878]",335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",36.93,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-06,Blade Runner 2049,False,7.4,7348
False,/vc8bCGjdVp0UbMNLzHnHSLRbBWQ.jpg,"[28, 12, 18, 878]",315635,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",41.781,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-07,Spider-Man: Homecoming,False,7.4,12927
False,/5qEaTFR3dVHgP85YXraZJiRBHt1.jpg,"[28, 80, 53]",324552,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",31.132,/zkXnKIwX5pYorKJp2fjFSfNyKT0.jpg,2017-02-10,John Wick: Chapter 2,False,7.1,6742
False,/o5T8rZxoWSBMYwjsUFUqTt6uMQB.jpg,"[28, 12, 14, 878]",141052,en,Justice League,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",36.269,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg,2017-11-17,Justice League,False,6.2,8135
False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,"[12, 16, 35, 14, 10751]",354912,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",27.016,/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,2017-11-22,Coco,False,8.2,9767
False,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,"[28, 12, 14]",297762,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,32.243,/gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg,2017-06-02,Wonder Woman,False,7.3,13414
False,/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg,"[27, 53]",381288,en,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",25.218,/rXMWOZiCt6eMX22jWuTOSdQ98bY.jpg,2017-01-20,Split,False,7.3,11163
False,/yEv8c6i79vk06sZDC3Z9D8HQLVV.jpg,"[28, 18, 878]",263115,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",35.277,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,2017-03-03,Logan,False,7.8,13106
False,/6aUWe0GSl69wMTSWWexsorMIvwU.jpg,"[10751, 14, 10749]",321612,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,27.049,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,2017-03-17,Beauty and the Beast,False,6.9,11582
False,/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg,"[27, 878, 53]",126889,en,Alien: Covenant,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",28.986,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,2017-05-19,Alien: Covenant,False,5.9,5272
False,/jzdnhRhG0dsuYorwvSqPqqnM1cV.jpg,"[28, 80, 53]",337339,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",25.759,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,2017-04-14,The Fate of the Furious,False,6.9,6681
False,/7C921eWK06n12c1miRXnYoEu5Yv.jpg,"[28, 12, 35, 14]",166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",24.209,/xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,False,6.6,7380
False,/sRg0J1uvz3Yfp6WnHcL33dY4g5w.jpg,"[28, 12, 14]",293167,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",29.243,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,2017-03-10,Kong: Skull Island,False,6.4,6485
