adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,"[12, 16, 35, 10402, 10751]",330457,en,Frozen II,"Elsa, Anna, Kristoff and Olaf are going far in the forest to know the truth about an ancient mystery of their kingdom.",435.669,/qdfARIhgpgZOBh3vfNhWS4hmSo3.jpg,2019-11-22,Frozen II,False,6.8,167
False,/riTANvQ8GKmQbgtC1ps3OfkU43A.jpg,"[28, 878]",290859,en,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",180.963,/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg,2019-11-01,Terminator: Dark Fate,False,6.4,657
False,/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg,"[28, 12, 35]",458897,en,Charlie's Angels,"When a systems engineer blows the whistle on a dangerous technology, Charlie's Angels from across the globe are called into action, putting their lives on the line to protect society.",111.163,/r5WnfZPYAVhBA9FuZGn6THWaGHD.jpg,2019-11-15,Charlie's Angels,False,6.4,99
False,/iGnCzXEx0cFlUbpyAMeHwHWhPhx.jpg,"[28, 12, 16]",568012,ja,ワンピーススタンピード,"One Piece: Stampede is a stand-alone film that celebrates the anime's 20th Anniversary and takes place outside the canon of the ""One Piece"" TV series. Monkey D. Luffy and his Straw Hat pirate crew are invited to a massive Pirate Festival that brings many of the most iconic characters from throughout the franchise to participate in competition with the Straw Hats to find Roger's treasure. It also pits the Straw Hats against a new enemy named Bullet, a former member of Roger's crew.",151.644,/4E2lyUGLEr3yH4q6kJxPkQUhX7n.jpg,2019-10-24,One Piece: Stampede,False,7.4,92
False,/n3UanIvmnBlH531pykuzNs4LbH6.jpg,"[18, 36]",359724,en,Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",98.487,/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg,2019-11-15,Ford v Ferrari,False,8.0,312
False,/mlxKite1x1PgmIhJgAxNS9eHmH8.jpg,"[12, 16, 35, 10751]",508965,en,Klaus,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on a icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",83.866,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,2019-11-08,Klaus,False,8.6,194
False,/tuL19hxiwKUmHltBpiXaVs5EzfB.jpg,"[12, 14, 10751]",420809,en,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",64.978,/tBuabjEqxzoUBHfbyNbd8ulgy5j.jpg,2019-10-18,Maleficent: Mistress of Evil,False,7.2,929
False,/n0Yk3pEix6EvMfcFxpTQKMUtl6V.jpg,"[18, 9648, 53, 10749]",513409,en,Earthquake Bird,"Tokyo, Japan, 1989. Lucy Fly, a foreigner who works as a translator, begins a passionate relationship with Teiji, a mysterious man obsessed with photography.",58.14,/oyKnosHXQ7kkhlGwqsWOvn4RgKR.jpg,2019-11-01,Earthquake Bird,False,5.6,79
False,/wfPR0NQsM4RkLPpWLCbuyNgKC3k.jpg,[18],501907,en,A Beautiful Day in the Neighborhood,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",53.912,/tC3oqkvF6E1RzaTBMb7IivcLx96.jpg,2019-11-22,A Beautiful Day in the Neighborhood,False,6.2,7
False,/1nm0sk8UUx9jHCTHuMKe2jkt4Pn.jpg,[27],501170,en,Doctor Sleep,"A traumatized, alcoholic Dan Torrance meets Abra, a kid who also has the ability to ""shine."" He tries to protect her from the True Knot, a cult whose goal is to feed off of people like them in order to remain immortal.",55.21,/p69QzIBbN06aTYqRRiCOY1emNBh.jpg,2019-11-08,Doctor Sleep,False,7.1,479
